167010920150209201513
036AUD001       4,726604       4,740826       4,755048
124CAD001       5,075742       5,091015       5,106288
203CZK001       0,278615       0,279453       0,280291
208DKK001       1,008157       1,011191       1,014225
348HUF100       2,394970       2,402177       2,409384
392JPY100       5,575606       5,592383       5,609160
578NOK001       0,804040       0,806459       0,808878
752SEK001       0,792046       0,794429       0,796812
756CHF001       6,942499       6,963389       6,984279
826GBP001      10,265048      10,295936      10,326824
840USD001       6,684090       6,704203       6,724316
978EUR001       7,524280       7,546921       7,569562
985PLN001       1,778369       1,783720       1,789071
